model,location,mic_type,snr,rt60,segment_index,segment_start,segment_end,class_name,num_frames_in_segment,detected_frames_class,percentage_occurrence,mean_confidence,std_confidence
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,0,0,120,"Baby cry, infant cry",18000,5280,0.2933,0.3645,0.2338
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,1,120,240,Music,18001,17521,0.9733,0.7773,0.1488
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,2,240,360,Speech,18001,15504,0.8613,0.6807,0.2350
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,3,360,480,Water,18001,5952,0.3306,0.3688,0.2033
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,4,480,600,Fire alarm,18001,10896,0.6053,0.5007,0.3598
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,5,600,720,Television,18001,5088,0.2827,0.3144,0.2197
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,6,720,840,Animal,18001,5856,0.3253,0.3574,0.2356
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,7,840,960,Tick-tock,18001,4096,0.2275,0.3696,0.2540
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,8,960,1080,Drawer open or close,18001,2432,0.1351,0.4155,0.2245
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,9,1080,1200,Writing,18001,2784,0.1547,0.3145,0.2605
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,10,1200,1320,Vehicle,18001,17328,0.9626,0.5196,0.2143
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,11,1320,1440,Door,18001,1376,0.0764,0.2287,0.1556
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,12,1440,1560,Rail transport,18001,13552,0.7528,0.5651,0.1750
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,13,1560,1680,"Dishes, pots, and pans",18001,1760,0.0978,0.3782,0.2565
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,14,1680,1800,Wood,18001,4864,0.2702,0.3470,0.2489
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,15,1800,1920,Television,18001,2656,0.1475,0.2985,0.2425
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,15,1800,1920,Speech,18001,15408,0.8560,0.6457,0.2464
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,16,1920,2040,Television,18001,96,0.0053,0.1888,0.0320
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,16,1920,2040,Rail transport,18001,7808,0.4338,0.4250,0.1804
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,17,2040,2160,Television,18001,544,0.0302,0.2317,0.1286
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,17,2040,2160,Vehicle,18001,13105,0.7280,0.4585,0.1981
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,18,2160,2280,Rail transport,18001,13568,0.7537,0.4933,0.2041
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,18,2160,2280,Vehicle,18001,17777,0.9876,0.5541,0.1507
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,19,2280,2400,Drawer open or close,18001,224,0.0124,0.1809,0.0589
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,19,2280,2400,Wood,18001,2528,0.1404,0.3813,0.2690
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,20,2400,2520,Drawer open or close,18001,128,0.0071,0.2096,0.1458
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,20,2400,2520,Door,18001,1120,0.0622,0.2212,0.0866
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,21,2520,2640,"Baby cry, infant cry",18001,2176,0.1209,0.4354,0.2702
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,21,2520,2640,Animal,18001,8736,0.4853,0.3062,0.1696
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,22,2640,2760,Water,18001,2561,0.1423,0.3193,0.1483
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,22,2640,2760,Vehicle,18001,15168,0.8426,0.4768,0.1926
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,23,2760,2880,Television,18001,448,0.0249,0.2792,0.2248
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,23,2760,2880,Fire alarm,18001,2112,0.1173,0.3338,0.2152
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,24,2880,3000,Fire alarm,18001,1792,0.0996,0.1748,0.1357
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,24,2880,3000,Water,18001,3104,0.1724,0.3552,0.1843
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,25,3000,3120,Speech,18001,11904,0.6613,0.5353,0.2704
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,25,3000,3120,Music,18001,16720,0.9288,0.7510,0.1823
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,26,3120,3240,Television,18001,736,0.0409,0.1584,0.0609
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,26,3120,3240,Drawer open or close,18001,32,0.0018,0.2178,0.0000
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,27,3240,3360,Rail transport,18001,7136,0.3964,0.4354,0.2643
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,27,3240,3360,Fire alarm,18001,1504,0.0836,0.2016,0.0913
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,28,3360,3480,Television,18001,1088,0.0604,0.2107,0.0827
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,28,3360,3480,Door,18001,640,0.0356,0.2908,0.1901
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,29,3480,3600,Door,18001,160,0.0089,0.1828,0.0699
Cnn14_DecisionLevelAtt,Baseline,Baseline,,,29,3480,3600,Vehicle,18001,14321,0.7956,0.4489,0.2133
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,0,0,120,"Baby cry, infant cry",18000,5472,0.3040,0.3906,0.2821
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,1,120,240,Music,18001,17649,0.9804,0.7678,0.1474
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,2,240,360,Speech,18001,15760,0.8755,0.5880,0.2280
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,3,360,480,Water,18001,7872,0.4373,0.4075,0.2050
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,4,480,600,Fire alarm,18001,11504,0.6391,0.5857,0.3370
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,5,600,720,Television,18001,8112,0.4506,0.4340,0.2753
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,6,720,840,Animal,18001,2400,0.1333,0.2440,0.1445
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,7,840,960,Tick-tock,18001,2880,0.1600,0.4079,0.2913
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,8,960,1080,Drawer open or close,18001,1952,0.1084,0.2666,0.2199
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,9,1080,1200,Writing,18001,384,0.0213,0.1809,0.1016
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,10,1200,1320,Vehicle,18001,13360,0.7422,0.4215,0.2234
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,11,1320,1440,Door,18001,2464,0.1369,0.2300,0.1613
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,12,1440,1560,Rail transport,18001,13328,0.7404,0.4604,0.2090
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,13,1560,1680,"Dishes, pots, and pans",18001,2496,0.1387,0.3125,0.2643
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,14,1680,1800,Wood,18001,9856,0.5475,0.4037,0.2749
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,15,1800,1920,Television,18001,5984,0.3324,0.4204,0.2644
Cnn14_DecisionLevelAtt,LivingLab,AudioMoth,-5.2,0.72,15,1800,1920,Speech,18001,13904,0.7724,0.5501,0.2602
